"Part D Drug Utilization and Cost Summary, Calendar Years 2011 - 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Name,Generic Name,"Claim Count, 2011","Total Spending, 2011","Beneficiary Count, 2011","Total Annual Spending Per User, 2011","Unit Count, 2011","Average Cost Per Unit (Weighted), 2011","Beneficiary Count No LIS, 2011","Average Beneficiary Cost Share No LIS, 2011","Beneficiary Count LIS, 2011","Average Beneficiary Cost Share LIS, 2011","Claim Count, 2012","Total Spending, 2012","Beneficiary Count, 2012","Total Annual Spending Per User, 2012","Unit Count, 2012","Average Cost Per Unit (Weighted), 2012","Beneficiary Count No LIS, 2012","Average Beneficiary Cost Share No LIS, 2012","Beneficiary Count LIS, 2012","Average Beneficiary Cost Share LIS, 2012","Claim Count, 2013","Total Spending, 2013","Beneficiary Count, 2013","Total Annual Spending Per User, 2013","Unit Count, 2013","Average Cost Per Unit (Weighted), 2013","Beneficiary Count No LIS, 2013","Average Beneficiary Cost Share No LIS, 2013","Beneficiary Count LIS, 2013","Average Beneficiary Cost Share LIS, 2013","Claim Count, 2014","Total Spending, 2014","Beneficiary Count, 2014","Total Annual Spending Per User, 2014","Unit Count, 2014","Average Cost Per Unit (Weighted), 2014","Beneficiary Count No LIS, 2014","Average Beneficiary Cost Share No LIS, 2014","Beneficiary Count LIS, 2014","Average Beneficiary Cost Share LIS, 2014","Claim Count, 2015","Total Spending, 2015","Beneficiary Count, 2015","Total Annual Spending Per User, 2015","Unit Count, 2015","Average Cost Per Unit (Weighted), 2015","Beneficiary Count No LIS, 2015","Average Beneficiary Cost Share No LIS, 2015","Beneficiary Count LIS, 2015","Average Beneficiary Cost Share LIS, 2015","Annual Change in Average Cost Per Unit, 2015"
ABILIFY MAINTENA ,ARIPIPRAZOLE ,,,,,,,,,,,,,,,,,,,,,"14,694","$21,278,004.27","3,986","$5,338.18","14,794","$1,438.48",90,$471.99,"3,896",$7.78,"54,759","$83,362,843.56","9,639","$8,648.50","55,134","$1,512.11",255,$872.15,"9,384",$13.43,"92,211","$148,259,378.06","14,001","$10,589.20","92,724","$1,599.00",359,"$1,131.72","13,642",$15.85,6%
ABRAXANE ,PACLITAXEL PROTEIN-BOUND ,233,"$950,703.38",51,"$18,641.24",975,$975.08,14,"$1,262.69",37,$4.61,307,"$1,592,913.74",82,"$19,425.78","1,623",$981.46,30,"$1,694.82",52,$2.52,557,"$2,915,287.29",161,"$18,107.37","3,380",$862.51,62,"$1,031.50",99,$3.29,835,"$4,546,656.69",257,"$17,691.27","5,000",$909.33,110,"$1,295.60",147,$9.68,824,"$4,481,987.77",226,"$19,831.80","4,478","$1,000.89",105,"$1,324.67",121,$8.35,
ABSORICA ,ISOTRETINOIN ,,,,,,,,,,,,,,,,,,,,,78,"$76,550.36",40,"$1,913.76","3,280",$23.25,20,$236.28,20,$5.51,239,"$306,824.58",115,"$2,668.04","11,791",$25.98,46,$288.81,69,$8.24,224,"$287,388.53",106,"$2,711.21","10,540",$27.19,58,$375.20,48,$14.10,
ABSTRAL ,FENTANYL CITRATE ,82,"$123,813.83",32,"$3,869.18","5,458",$21.29,,,,,127,"$253,398.25",33,"$7,678.73","9,674",$23.11,16,$409.26,17,$23.65,136,"$433,417.39",47,"$9,221.65","10,188",$41.53,23,$667.25,24,$91.94,612,"$3,820,093.09",210,"$18,190.92","57,250",$57.60,79,$865.34,131,$27.07,838,"$7,192,140.53",172,"$41,814.77","96,526",$67.52,68,"$1,807.48",104,$50.07,
ACAMPROSATE CALCIUM ,ACAMPROSATE CALCIUM ,,,,,,,,,,,,,,,,,,,,,"7,020","$1,207,181.32","3,528",$342.17,"1,149,195",$1.05,"1,052",$83.88,"2,476",$2.96,"24,852","$3,926,354.81","7,758",$506.10,"3,991,594",$0.98,"2,719",$123.58,"5,039",$5.63,"29,170","$4,292,171.19","8,976",$478.18,"4,604,905",$0.93,"3,190",$113.11,"5,786",$5.14,-5%
ACANYA ,CLINDAMYCIN PHOS/BENZOYL PEROX ,432,"$89,539.96",289,$309.83,"21,601",$4.15,134,$104.14,155,$5.48,626,"$157,277.65",392,$401.22,"31,400",$5.01,216,$98.07,176,$7.23,888,"$290,935.56",574,$506.86,"46,265",$6.29,367,$85.81,207,$8.16,911,"$351,156.40",572,$613.91,"46,645",$7.53,381,$84.59,191,$6.70,799,"$360,520.84",452,$797.61,"42,010",$8.58,302,$111.00,150,$13.94,
ACARBOSE ,ACARBOSE ,"171,071","$11,693,362.63","32,843",$356.04,"18,845,023",$0.62,"15,297",$66.97,"17,546",$7.40,"184,107","$12,326,109.80","35,925",$343.11,"20,814,579",$0.59,"17,590",$65.04,"18,335",$6.90,"202,961","$13,255,434.71","40,342",$328.58,"23,825,301",$0.56,"21,111",$77.04,"19,231",$6.82,"206,501","$12,325,805.34","42,012",$293.39,"24,993,121",$0.49,"22,320",$80.51,"19,692",$7.00,"205,723","$11,872,705.55","42,221",$281.20,"25,305,946",$0.47,"22,454",$89.79,"19,767",$6.98,-5%
ACCOLATE ,ZAFIRLUKAST ,"21,924","$2,619,497.33","6,409",$408.72,"1,436,161",$1.82,"2,871",$179.78,"3,538",$13.28,"6,331","$855,221.39","1,494",$572.44,"447,963",$1.91,830,$225.23,664,$14.50,"3,011","$450,913.52",695,$648.80,"238,060",$1.89,396,$254.41,299,$14.55,"2,276","$365,249.69",467,$782.12,"194,210",$1.88,273,$304.96,194,$17.61,"1,711","$472,524.13",361,"$1,308.93","150,952",$3.13,217,$345.38,144,$23.44,
ACCUNEB ,ALBUTEROL SULFATE ,120,"$7,415.18",90,$82.39,"12,921",$0.57,,,,,53,"$3,877.04",37,$104.78,"6,972",$0.56,,,,,44,"$2,050.60",23,$89.16,"4,611",$0.44,,,,,,,,,,,,,,,,,,,,,,,,,
ACCUPRIL ,QUINAPRIL HCL ,"8,052","$767,824.89","1,786",$429.91,"438,177",$1.75,"1,259",$242.10,527,$22.97,"7,303","$878,680.62","1,506",$583.45,"441,427",$1.99,"1,109",$298.78,397,$24.30,"7,400","$1,063,447.06","1,454",$731.39,"483,768",$2.20,"1,174",$315.27,280,$31.49,"6,114","$1,050,336.08","1,317",$797.52,"417,448",$2.52,"1,060",$295.67,257,$28.94,"5,762","$1,129,256.33","1,089","$1,036.97","387,580",$2.91,903,$335.85,186,$33.89,16%
ACCURETIC ,QUINAPRIL/HYDROCHLOROTHIAZIDE ,870,"$80,475.08",209,$385.05,"46,820",$1.72,145,$252.09,64,$16.46,675,"$85,324.31",159,$536.63,"43,213",$1.97,120,$275.52,39,$26.95,651,"$92,285.54",145,$636.45,"42,771",$2.16,105,$328.59,40,$24.50,465,"$76,619.99",113,$678.05,"31,393",$2.44,86,$325.87,27,$33.52,373,"$77,105.43",91,$847.31,"27,320",$2.82,72,$333.76,19,$46.86,
ACCUSURE ,"SYRING W-NDL,DISP,INSUL,0.5 ML ",889,"$16,181.52",326,$49.64,"77,262",$0.21,76,$12.51,250,$8.12,80,"$1,515.86",28,$54.14,"7,430",$0.20,,,,,26,$443.76,,,"2,340",$0.19,,,,,,,,,,,,,,,,,,,,,,,,,
ACCUSURE ,"SYRINGE AND NEEDLE,INSULIN,1ML ",768,"$13,543.21",269,$50.35,"64,046",$0.21,125,$10.13,144,$9.57,34,$684.25,15,$45.62,"3,330",$0.21,,,,,16,$365.13,,,"1,720",$0.21,,,,,,,,,,,,,,,,,,,,,,,,,
ACEBUTOLOL HCL ,ACEBUTOLOL HCL ,"127,745","$3,499,407.46","20,981",$166.79,"9,501,688",$0.37,"17,349",$59.51,"3,632",$12.23,"127,305","$3,543,151.64","21,601",$164.03,"9,912,423",$0.36,"17,997",$60.18,"3,604",$10.92,"134,256","$3,888,336.70","23,942",$162.41,"11,100,546",$0.35,"20,531",$55.95,"3,411",$11.17,"130,835","$3,525,464.63","24,326",$144.93,"11,262,896",$0.31,"20,972",$56.89,"3,354",$10.58,"124,036","$2,755,575.75","23,590",$116.81,"10,968,286",$0.25,"20,411",$58.86,"3,179",$10.51,-19%
ACEON ,PERINDOPRIL ERBUMINE ,"2,605","$287,874.22",685,$420.25,"120,094",$2.39,507,$237.19,178,$18.84,936,"$103,974.22",320,$324.92,"43,000",$2.42,249,$174.06,71,$18.43,120,"$11,372.18",36,$315.89,"4,862",$2.31,,,,,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPH-CAFF-DIHYDROCODEIN ,DHCODEINE BT/ACETAMINOPHN/CAFF ,"4,997","$484,572.16","1,582",$306.30,"340,065",$1.42,635,$105.18,947,$6.96,"3,967","$419,976.92","1,036",$405.38,"289,497",$1.45,501,$120.12,535,$9.97,"2,058","$216,222.37",607,$356.21,"153,118",$1.41,344,$141.41,263,$9.47,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN-CODEINE ,ACETAMINOPHEN WITH CODEINE ,"2,803,822","$37,536,168.31","1,192,417",$31.48,"172,267,021",$0.23,"600,518",$13.58,"591,899",$3.24,"2,698,378","$35,121,853.47","1,171,519",$29.98,"165,167,484",$0.22,"609,034",$13.72,"562,485",$2.93,"2,716,272","$32,946,988.04","1,212,371",$27.18,"166,178,572",$0.20,"677,975",$12.81,"534,396",$2.98,"2,854,695","$31,569,362.48","1,347,069",$23.44,"172,180,420",$0.19,"756,070",$9.05,"590,999",$1.62,"3,678,580","$43,790,042.11","1,721,969",$25.43,"214,268,533",$0.21,"983,378",$9.52,"738,591",$1.81,9%
ACETASOL HC ,ACETIC ACID/HYDROCORTISONE ,"4,607","$854,951.74","3,546",$241.10,"59,926",$14.27,"2,050",$30.41,"1,496",$2.88,"3,097","$565,690.75","2,403",$235.41,"39,541",$14.31,"1,564",$29.21,839,$2.17,"1,974","$360,808.84","1,530",$235.82,"20,280",$17.79,999,$33.36,531,$2.18,"1,023","$150,393.92",780,$192.81,"10,580",$14.21,499,$31.75,281,$2.09,564,"$76,243.00",462,$165.03,"5,965",$12.78,302,$26.08,160,$1.90,
ACETAZOLAMIDE ,ACETAZOLAMIDE ,"225,803","$12,894,882.41","73,929",$174.42,"12,904,599",$1.15,"43,674",$29.14,"30,255",$5.03,"247,398","$15,441,098.39","81,674",$189.06,"14,412,482",$1.20,"49,854",$30.71,"31,820",$4.59,"266,844","$17,588,084.76","91,387",$192.46,"15,710,943",$1.23,"59,338",$31.20,"32,049",$4.96,"288,834","$31,235,965.88","100,157",$311.87,"16,973,786",$1.89,"66,503",$39.92,"33,654",$5.00,"300,569","$37,170,030.30","105,306",$352.97,"17,796,028",$2.12,"70,981",$48.45,"34,325",$5.31,15%
ACETAZOLAMIDE SODIUM ,ACETAZOLAMIDE SODIUM ,,,,,,,,,,,16,"$4,740.57",12,$395.05,"2,980",$1.59,,,,,11,"$1,526.68",,,42,$36.35,,,,,,,,,,,,,,,,,,,,,,,,,
ACETIC ACID ,ACETIC ACID ,"44,440","$1,267,348.39","22,923",$55.29,"30,189,249",$1.19,"11,382",$10.09,"11,541",$1.75,"46,448","$1,216,824.63","24,236",$50.21,"41,163,725",$1.11,"12,192",$10.34,"12,044",$1.19,"53,177","$1,251,715.51","26,476",$47.28,"38,303,705",$1.02,"13,733",$11.04,"12,743",$1.18,"53,865","$1,232,021.23","26,687",$46.17,"40,411,511",$0.92,"13,858",$12.37,"12,829",$1.25,"56,631","$1,211,099.88","28,896",$41.91,"40,266,512",$0.92,"15,314",$13.23,"13,582",$1.38,-6%
ACETIC ACID-ALUMINUM ,ACETIC ACID/ALUMINUM ACETATE ,"5,859","$368,425.19","4,271",$86.26,"360,681",$1.02,"2,615",$10.94,"1,656",$1.68,"5,307","$329,945.43","3,893",$84.75,"329,502",$1.00,"2,426",$11.41,"1,467",$1.31,"5,283","$319,470.77","3,868",$82.59,"324,115",$0.99,"2,517",$12.74,"1,351",$1.26,"4,393","$254,718.58","3,227",$78.93,"268,015",$0.95,"2,028",$17.50,"1,199",$1.55,"4,633","$272,722.06","3,348",$81.46,"284,784",$0.96,"2,116",$20.71,"1,232",$1.48,1%
ACETYLCYSTEINE ,ACETYLCYSTEINE ,"35,634","$1,555,542.51","14,055",$110.68,"2,464,842",$0.63,"5,865",$15.12,"8,190",$0.96,"28,352","$1,307,054.59","10,134",$128.98,"1,864,273",$0.69,"3,650",$18.43,"6,484",$0.99,"12,363","$1,530,784.30","5,924",$258.40,"833,930",$1.59,"2,983",$40.22,"2,941",$1.43,"20,896","$1,413,703.49","7,237",$195.34,"1,609,849",$0.84,"2,928",$35.08,"4,309",$1.54,"25,500","$1,373,841.62","7,633",$179.99,"1,924,030",$0.68,"2,510",$38.08,"5,123",$1.55,11%
ACID JELLY ,ACETIC AC/RICINOLEIC/OXYQUINOL ,229,"$8,237.44",136,$60.57,"23,690",$0.35,111,$25.69,25,$2.48,28,$898.55,25,$35.94,"2,465",$0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIPHEX ,RABEPRAZOLE SODIUM ,"404,412","$131,889,812.65","88,282","$1,493.96","18,216,153",$7.24,"44,579",$315.60,"43,703",$21.15,"372,419","$147,707,390.34","76,690","$1,926.03","17,565,458",$8.41,"40,534",$352.34,"36,156",$21.10,"284,540","$153,570,204.22","68,258","$2,249.85","15,200,860",$10.10,"44,141",$349.94,"24,117",$20.44,"50,757","$33,263,281.37","12,160","$2,735.47","2,846,366",$11.69,"8,094",$374.10,"4,066",$19.80,"36,489","$30,821,878.88","7,200","$4,280.82","2,211,045",$13.94,"4,859",$485.94,"2,341",$24.05,19%
ACIPHEX SPRINKLE ,RABEPRAZOLE SODIUM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,"$19,112.97",18,"$1,061.83","1,652",$11.57,,,,,85,"$57,252.66",39,"$1,468.02","4,391",$13.03,27,$122.83,12,$11.34,
ACITRETIN ,ACITRETIN ,,,,,,,,,,,,,,,,,,,,,"10,344","$10,261,958.99","4,210","$2,437.52","391,098",$26.39,"2,137",$198.50,"2,073",$3.41,"35,054","$33,168,173.10","8,971","$3,697.27","1,311,375",$25.44,"4,285",$450.41,"4,686",$8.34,"34,369","$30,933,433.04","7,971","$3,880.75","1,287,670",$24.19,"4,502",$482.44,"3,469",$12.92,-4%
ACLOVATE ,ALCLOMETASONE DIPROPIONATE ,61,"$4,452.64",48,$92.76,"2,220",$2.13,27,$36.90,21,$2.42,23,"$1,856.55",20,$92.83,"1,531",$1.22,,,,,14,"$2,335.65",13,$179.67,"1,100",$2.18,,,,,,,,,,,,,,,,,,,,,,,,,
ACTEMRA ,TOCILIZUMAB ,"1,611","$2,318,580.04",223,"$10,397.22","54,228",$53.90,89,"$1,155.39",134,$23.45,"2,770","$4,127,018.09",359,"$11,495.87","59,855",$68.04,122,"$1,191.66",237,$31.82,"4,052","$6,774,144.99",649,"$10,437.82","88,211",$100.79,224,$649.36,425,$30.72,"12,040","$24,667,721.03","2,187","$11,279.25","113,241",$520.30,756,$686.23,"1,431",$17.78,"17,896","$43,506,165.44","2,925","$14,873.90","119,325",$677.15,962,$796.86,"1,963",$18.30,9%
ACTHIB ,HAEMOPH B POLY CONJ-TET TOX/PF ,259,"$7,972.28",238,$33.50,373,$21.40,190,$19.15,48,$3.78,404,"$14,332.74",377,$38.02,500,$28.67,319,$18.97,58,$3.92,375,"$14,555.67",333,$43.71,368,$39.54,266,$25.75,67,$4.23,597,"$21,933.20",544,$40.32,602,$36.46,458,$21.92,86,$3.83,679,"$26,371.43",588,$44.85,718,$36.73,480,$26.16,108,$3.81,
ACTICIN ,PERMETHRIN ,"2,112","$45,032.37","1,715",$26.26,"144,989",$0.31,541,$9.44,"1,174",$1.71,109,"$3,211.63",91,$35.29,"7,320",$0.44,31,$7.14,60,$1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTIGALL ,URSODIOL ,787,"$427,525.11",163,"$2,622.85","81,286",$5.26,92,$555.65,71,$13.38,791,"$543,614.54",145,"$3,749.07","93,441",$5.82,95,$641.00,50,$17.62,833,"$653,386.51",169,"$3,866.19","103,791",$6.30,127,$515.96,42,$17.01,860,"$777,299.54",187,"$4,156.68","117,564",$6.61,130,$530.95,57,$13.87,865,"$835,932.32",190,"$4,399.64","119,153",$7.02,136,$597.61,54,$12.40,
ACTIMMUNE ,"INTERFERON GAMMA-1B,RECOMB. ",601,"$4,338,256.97",76,"$57,082.33","5,654",$767.36,41,"$3,472.23",35,$26.88,506,"$9,450,370.53",67,"$141,050.31","4,815","$1,962.69",40,"$6,343.33",27,$29.20,470,"$14,061,309.00",63,"$223,195.38","4,170","$3,372.42",38,"$7,337.16",25,$45.20,545,"$18,526,139.54",59,"$314,002.37","4,457","$4,156.64",33,"$9,942.35",26,$13.42,505,"$24,298,651.79",62,"$391,913.74","3,846","$6,318.72",33,"$11,833.18",29,$26.40,
ACTIQ ,FENTANYL CITRATE ,"1,118","$10,349,948.57",158,"$65,506.00","122,905",$77.51,41,"$1,734.70",117,$22.78,755,"$8,048,493.81",129,"$62,391.42","81,974",$93.04,45,"$1,348.44",84,$7.72,547,"$6,082,509.15",68,"$89,448.66","60,649",$97.60,29,"$1,634.33",39,$6.14,346,"$3,766,131.95",50,"$75,322.64","41,644",$89.45,20,"$1,080.61",30,$4.43,220,"$2,781,813.95",36,"$77,272.61","26,861",$100.82,12,"$1,045.05",24,$2.45,
ACTIVE OB ,"PNV NO.66/IRON,CARBONYL/FA/DHA ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"$1,455.23",,,480,$3.03,,,,,
ACTIVELLA ,ESTRADIOL/NORETHINDRONE ACET ,"10,536","$1,237,658.79","2,841",$435.64,"424,194",$2.92,"2,141",$285.73,700,$18.24,"5,857","$853,728.09","1,357",$629.13,"232,352",$3.68,"1,028",$358.85,329,$16.46,"4,724","$830,173.68","1,056",$786.15,"192,618",$4.32,827,$385.01,229,$21.14,"2,990","$642,135.67",719,$893.10,"122,594",$5.25,587,$358.57,132,$15.01,"2,373","$654,773.77",484,"$1,352.84","98,478",$6.67,408,$447.00,76,$20.72,
ACTONEL ,RISEDRONATE SODIUM ,"1,556,284","$242,348,288.33","311,086",$779.04,"6,732,428",$61.44,"189,688",$284.26,"121,398",$23.51,"1,088,903","$197,707,048.01","218,031",$906.78,"4,677,649",$72.60,"135,322",$290.46,"82,709",$22.23,"809,719","$174,460,887.45","168,023","$1,038.32","3,567,249",$83.96,"109,117",$296.61,"58,906",$22.00,"498,427","$151,223,205.54","119,106","$1,269.65","2,480,288",$102.49,"79,263",$274.83,"39,843",$19.99,"129,892","$45,300,074.56","39,661","$1,142.18","797,706",$85.55,"24,298",$250.70,"15,363",$14.61,18%
ACTONEL WITH CALCIUM ,RISEDRONATE SOD/CALCIUM CARB ,51,"$4,818.16",27,$178.45,"1,376",$3.50,12,$47.22,15,$12.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTOPLUS MET ,PIOGLITAZONE HCL/METFORMIN HCL ,"425,375","$123,320,978.04","77,250","$1,596.39","31,470,918",$3.92,"38,285",$342.83,"38,965",$29.79,"228,832","$80,025,965.40","53,356","$1,499.85","17,261,280",$4.64,"26,872",$273.67,"26,484",$22.77,"18,098","$7,160,852.20","5,010","$1,429.31","1,317,182",$5.44,"2,481",$273.92,"2,529",$14.04,"2,587","$1,395,209.87",925,"$1,508.33","212,455",$6.57,489,$278.52,436,$9.61,"1,355","$927,246.26",322,"$2,879.65","117,072",$7.92,185,$396.40,137,$12.92,
ACTOPLUS MET XR ,PIOGLITAZONE HCL/METFORMIN HCL ,"6,252","$1,845,632.48","2,113",$873.47,"360,508",$5.51,"1,286",$260.49,827,$17.54,"6,199","$2,361,624.31","1,594","$1,481.57","377,011",$6.80,"1,025",$317.91,569,$19.55,"5,606","$2,982,026.50","1,478","$2,017.61","420,808",$7.65,"1,063",$305.05,415,$20.50,"4,029","$2,711,238.52","1,110","$2,442.56","313,926",$9.31,826,$301.11,284,$11.75,"3,356","$2,801,788.81",878,"$3,191.10","270,702",$11.28,678,$316.48,200,$12.32,
ACTOS ,PIOGLITAZONE HCL ,"4,484,645","$1,294,152,165.40","778,712","$1,661.91","184,549,604",$7.11,"376,150",$338.94,"402,562",$29.92,"2,101,733","$726,698,426.32","487,962","$1,489.25","88,737,845",$8.33,"234,687",$270.50,"253,275",$21.21,"97,625","$36,848,869.05","34,688","$1,062.29","4,816,776",$8.49,"17,936",$161.88,"16,752",$12.25,"13,326","$7,004,323.07","4,164","$1,682.11","586,009",$12.05,"2,027",$304.99,"2,137",$11.36,"6,764","$4,862,952.80","1,554","$3,129.31","332,279",$14.74,896,$408.76,658,$15.64,23%
ACUFLEX ,ACETAMINOPHEN/PHENYLTOLX ,50,"$4,575.98",24,$190.67,"3,412",$1.34,13,$53.80,11,$4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
