NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 123 , 524 , 915 ," 1,253 "," 1,653 "," 1,887 "," 2,185 "," 2,313 "," 2,610 "," 2,801 "," 3,084 "," 3,293 "," 3,489 "," 3,613 "," 3,848 "," 4,146 "," 3,998 "," 3,747 "," 1,573 "
         Department of Defense, 788 , 836 , 860 , 925 , 861 , 831 ," 1,078 "," 1,324 "," 1,445 "," 1,499 "," 1,582 "," 1,766 "," 1,997 "," 2,235 "," 2,475 "," 2,590 "," 2,695 "," 2,922 "," 3,067 "," 3,457 "," 3,949 "," 4,588 "," 5,158 "," 5,393 "," 5,842 "," 6,864 "," 7,634 "," 8,202 "," 8,778 "," 9,272 "," 10,446 "," 11,536 "," 11,621 "," 12,025 "," 11,833 "," 12,045 "," 11,951 "," 12,053 "," 12,201 "," 12,654 "," 13,709 "," 15,424 "," 18,856 "," 22,224 "," 24,898 "," 26,496 "," 29,765 "," 32,262 "," 34,031 "," 36,670 "," 38,301 "," 39,973 "," 39,984 "," 39,534 "," 41,517 "," 41,569 "," 41,496 "
         Department of Veterans Affairs, 897 , 933 , 961 ," 1,015 "," 1,058 "," 1,119 "," 1,153 "," 1,268 "," 1,344 "," 1,484 "," 1,719 "," 1,983 "," 2,291 "," 2,646 "," 2,900 "," 3,381 "," 4,066 "," 4,146 "," 4,859 "," 5,073 "," 5,740 "," 6,261 "," 6,905 "," 7,396 "," 8,070 "," 8,332 "," 8,775 "," 9,236 "," 9,629 "," 10,134 "," 10,939 "," 11,852 "," 12,594 "," 13,621 "," 14,612 "," 14,840 "," 15,567 "," 15,488 "," 16,333 "," 17,509 "," 19,082 "," 21,083 "," 22,782 "," 26,517 "," 27,951 "," 29,802 "," 31,861 "," 33,198 "," 37,686 "," 42,463 "," 45,723 "," 48,170 "," 49,758 "," 52,840 "," 57,931 "," 64,688 "," 67,449 "
     Other Third Party Payers and Programs," 3,889 "," 4,329 "," 4,703 "," 5,206 "," 5,659 "," 6,334 "," 6,226 "," 5,996 "," 6,842 "," 7,758 "," 8,974 "," 9,624 "," 10,232 "," 11,317 "," 12,970 "," 14,547 "," 16,364 "," 18,163 "," 20,859 "," 24,141 "," 28,550 "," 32,801 "," 36,316 "," 38,842 "," 41,372 "," 46,711 "," 53,017 "," 59,028 "," 66,746 "," 70,559 "," 77,078 "," 82,429 "," 88,071 "," 93,570 "," 97,292 "," 100,872 "," 104,735 "," 110,270 "," 119,946 "," 123,039 "," 124,918 "," 131,400 "," 138,864 "," 152,239 "," 160,834 "," 168,875 "," 179,468 "," 191,693 "," 188,399 "," 192,136 "," 203,808 "," 205,424 "," 225,353 "," 234,571 "," 238,802 "," 243,323 "," 258,263 "
         Worksite Health Care, 62 , 66 , 71 , 78 , 87 , 97 , 110 , 128 , 147 , 171 , 196 , 217 , 246 , 281 , 327 , 373 , 448 , 530 , 617 , 719 , 826 , 953 ," 1,041 "," 1,156 "," 1,306 "," 1,393 "," 1,522 "," 1,685 "," 1,867 "," 2,035 "," 2,228 "," 2,343 "," 2,484 "," 2,610 "," 2,731 "," 2,863 "," 2,975 "," 3,112 "," 3,220 "," 3,323 "," 3,518 "," 3,655 "," 3,775 "," 3,925 "," 4,102 "," 4,282 "," 4,388 "," 4,543 "," 4,540 "," 4,569 "," 4,702 "," 4,894 "," 5,163 "," 5,357 "," 5,689 "," 6,153 "," 6,742 "
         Other Private Revenues, 295 , 330 , 365 , 421 , 486 , 570 , 662 , 776 , 984 ," 1,181 "," 1,458 "," 1,636 "," 1,899 "," 2,014 "," 2,321 "," 2,548 "," 3,650 "," 4,050 "," 5,047 "," 6,065 "," 8,464 "," 10,518 "," 12,513 "," 13,884 "," 15,393 "," 18,243 "," 20,543 "," 22,670 "," 26,577 "," 27,899 "," 29,171 "," 31,483 "," 33,870 "," 36,365 "," 38,139 "," 42,219 "," 45,832 "," 50,356 "," 57,647 "," 59,097 "," 57,245 "," 55,451 "," 56,522 "," 61,870 "," 66,228 "," 70,655 "," 79,488 "," 89,648 "," 85,546 "," 91,047 "," 99,063 "," 98,066 "," 114,059 "," 118,477 "," 120,119 "," 122,364 "," 133,207 "
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 197 , 255 , 307 , 375 , 412 , 447 , 513 , 502 , 556 , 650 , 721 , 716 , 763 , 809 , 797 , 995 ," 1,203 "," 1,436 "," 1,477 "," 1,495 "," 1,652 "," 1,623 "," 1,725 "," 1,698 "," 1,751 "," 1,900 "," 2,108 "," 2,117 "," 2,294 "," 2,418 "," 2,439 "," 2,535 "," 2,569 "," 2,721 "," 3,087 "," 3,469 "," 3,520 "," 3,657 "," 3,577 "," 3,721 "," 3,745 "," 3,937 "
         Workers' Compensation, 615 , 644 , 705 , 742 , 807 , 870 , 991 ," 1,100 "," 1,244 "," 1,372 "," 1,532 "," 1,570 "," 1,715 "," 2,051 "," 2,382 "," 2,669 "," 3,031 "," 3,506 "," 4,026 "," 4,945 "," 5,606 "," 6,189 "," 6,929 "," 7,285 "," 7,661 "," 8,937 "," 10,083 "," 11,957 "," 13,816 "," 15,519 "," 17,530 "," 18,958 "," 21,100 "," 22,607 "," 22,189 "," 21,914 "," 22,050 "," 22,141 "," 23,063 "," 24,183 "," 26,479 "," 30,490 "," 34,137 "," 38,595 "," 39,882 "," 41,534 "," 41,775 "," 41,334 "," 40,042 "," 36,232 "," 37,001 "," 38,824 "," 41,981 "," 44,585 "," 46,927 "," 47,653 "," 50,661 "
         General Assistance, 102 , 110 , 102 , 103 , 112 , 122 , 182 , 240 , 299 , 359 , 417 , 477 , 582 , 691 , 827 ," 1,000 "," 1,131 "," 1,281 "," 1,358 "," 1,548 "," 1,899 "," 2,226 "," 2,437 "," 2,649 "," 2,875 "," 3,189 "," 3,422 "," 3,552 "," 3,742 "," 4,138 "," 5,032 "," 5,187 "," 5,531 "," 5,037 "," 5,451 "," 5,437 "," 5,414 "," 5,167 "," 4,928 "," 3,874 "," 3,940 "," 4,819 "," 5,138 "," 5,591 "," 5,904 "," 6,195 "," 6,721 "," 6,928 "," 7,146 "," 7,169 "," 7,084 "," 6,682 "," 6,423 "," 6,697 "," 6,900 "," 6,807 "," 6,195 "
         Maternal/Child Health, 116 , 172 , 180 , 201 , 220 , 244 , 291 , 324 , 377 , 435 , 409 , 453 , 482 , 467 , 525 , 565 , 619 , 665 , 701 , 775 , 864 , 879 , 935 ," 1,081 "," 1,111 "," 1,290 "," 1,391 "," 1,510 "," 1,580 "," 1,631 "," 1,693 "," 1,934 "," 2,146 "," 2,298 "," 2,443 "," 2,533 "," 2,644 "," 2,813 "," 2,900 "," 3,002 "," 3,158 "," 3,271 "," 3,393 "," 3,477 "," 3,469 "," 3,436 "," 3,334 "," 3,763 "," 4,147 "," 3,947 "," 3,913 "," 3,674 "," 3,422 "," 3,549 "," 3,809 "," 3,990 "," 4,174 "
                          Federal  , 27 , 44 , 48 , 50 , 60 , 80 , 114 , 142 , 167 , 190 , 148 , 191 , 234 , 204 , 243 , 276 , 297 , 311 , 330 , 339 , 344 , 339 , 343 , 398 , 348 , 407 , 395 , 433 , 459 , 476 , 478 , 518 , 565 , 578 , 594 , 587 , 580 , 582 , 588 , 603 , 609 , 619 , 636 , 634 , 635 , 622 , 598 , 600 , 594 , 591 , 591 , 583 , 562 , 545 , 569 , 571 , 570 
                          State and Local, 89 , 127 , 133 , 150 , 159 , 164 , 176 , 182 , 210 , 244 , 261 , 263 , 248 , 264 , 282 , 290 , 322 , 354 , 371 , 436 , 520 , 540 , 593 , 683 , 763 , 883 , 996 ," 1,078 "," 1,121 "," 1,155 "," 1,216 "," 1,416 "," 1,581 "," 1,720 "," 1,850 "," 1,946 "," 2,064 "," 2,231 "," 2,312 "," 2,399 "," 2,549 "," 2,652 "," 2,757 "," 2,843 "," 2,834 "," 2,815 "," 2,736 "," 3,163 "," 3,552 "," 3,356 "," 3,322 "," 3,091 "," 2,860 "," 3,004 "," 3,240 "," 3,419 "," 3,604 "
         Vocational Rehabilitation, 20 , 22 , 25 , 29 , 33 , 41 , 58 , 88 , 115 , 131 , 155 , 180 , 184 , 190 , 202 , 210 , 210 , 219 , 220 , 224 , 223 , 229 , 233 , 246 , 257 , 262 , 270 , 289 , 300 , 308 , 318 , 332 , 343 , 338 , 360 , 360 , 352 , 367 , 378 , 389 , 421 , 449 , 463 , 469 , 468 , 461 , 498 , 497 , 489 , 518 , 558 , 552 , 530 , 523 , 526 , 536 , 545 
                          Federal  , 12 , 14 , 15 , 18 , 20 , 27 , 42 , 66 , 86 , 100 , 121 , 140 , 144 , 149 , 158 , 164 , 163 , 170 , 168 , 171 , 170 , 172 , 172 , 183 , 195 , 200 , 207 , 223 , 232 , 238 , 246 , 257 , 264 , 253 , 271 , 271 , 263 , 276 , 286 , 293 , 317 , 342 , 355 , 359 , 361 , 355 , 377 , 373 , 374 , 398 , 435 , 432 , 411 , 405 , 406 , 413 , 420 
                          State and Local, 8 , 8 , 10 , 11 , 13 , 15 , 16 , 22 , 29 , 31 , 34 , 40 , 40 , 41 , 44 , 46 , 48 , 49 , 52 , 53 , 53 , 57 , 61 , 62 , 62 , 62 , 63 , 66 , 68 , 70 , 72 , 75 , 79 , 85 , 89 , 89 , 89 , 91 , 92 , 96 , 104 , 107 , 108 , 110 , 106 , 106 , 121 , 124 , 115 , 120 , 122 , 120 , 119 , 118 , 120 , 123 , 125 
         Other Federal Programs*, 337 , 447 , 598 , 715 , 750 , 831 , 653 , 463 , 489 , 621 , 927 ," 1,102 ", 963 , 980 ," 1,086 ", 695 , 823 , 854 , 948 ," 1,116 "," 1,343 "," 1,334 "," 1,184 "," 1,044 "," 1,065 "," 1,108 "," 1,133 "," 1,197 "," 1,271 "," 1,331 "," 1,556 "," 1,844 "," 2,050 "," 2,265 "," 2,472 "," 2,552 "," 2,841 "," 3,118 "," 3,395 "," 3,855 "," 4,462 "," 5,295 "," 5,676 "," 6,015 "," 6,272 "," 6,363 "," 6,421 "," 6,721 "," 6,923 "," 7,299 "," 7,737 "," 9,559 "," 11,576 "," 12,961 "," 12,187 "," 12,533 "," 12,397 "
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 569 , 537 , 581 , 689 , 663 , 825 , 799 , 636 , 599 , 607 , 515 , 533 , 644 , 884 , 698 ," 1,372 "," 1,656 "," 1,685 "," 1,714 "," 1,889 "," 2,067 "," 1,783 "," 1,500 "," 2,026 "," 2,395 "," 2,564 "," 2,812 "," 3,006 "," 3,093 "," 3,125 "," 3,219 "," 3,153 "," 3,166 "," 3,206 "," 3,309 "," 3,385 "," 3,448 "," 3,420 "," 3,284 "," 3,495 "," 3,501 "," 3,657 "
         Other State and Local Programs**," 2,221 "," 2,399 "," 2,510 "," 2,773 "," 3,013 "," 3,392 "," 3,093 "," 2,661 "," 2,944 "," 3,226 "," 3,589 "," 3,682 "," 3,839 "," 4,296 "," 4,922 "," 5,321 "," 5,227 "," 5,662 "," 6,319 "," 7,074 "," 7,389 "," 8,454 "," 9,151 "," 9,546 "," 9,600 "," 10,133 "," 12,417 "," 13,721 "," 14,801 "," 15,018 "," 15,889 "," 16,126 "," 16,011 "," 17,304 "," 18,422 "," 17,490 "," 17,330 "," 17,934 "," 18,496 "," 18,839 "," 18,748 "," 20,362 "," 21,751 "," 23,878 "," 25,773 "," 26,929 "," 27,586 "," 28,631 "," 29,549 "," 30,757 "," 32,605 "," 31,924 "," 30,801 "," 31,144 "," 30,817 "," 31,223 "," 31,762 "
         School Health, 122 , 140 , 147 , 143 , 151 , 168 , 187 , 215 , 242 , 263 , 290 , 308 , 321 , 346 , 377 , 400 , 433 , 509 , 559 , 600 , 663 , 708 , 753 , 795 , 847 , 919 , 986 ," 1,040 "," 1,099 "," 1,185 "," 1,293 "," 1,363 "," 1,416 "," 1,553 "," 1,701 "," 1,785 "," 1,890 "," 2,037 "," 2,197 "," 2,330 "," 2,483 "," 2,689 "," 2,888 "," 3,032 "," 3,193 "," 3,363 "," 3,569 "," 3,895 "," 4,089 "," 4,201 "," 4,293 "," 4,282 "," 4,321 "," 4,416 "," 4,612 "," 4,819 "," 4,984 "
     Public Health Activity, 371 , 409 , 456 , 509 , 572 , 621 , 733 , 861 , 969 ," 1,174 "," 1,356 "," 1,676 "," 1,855 "," 2,123 "," 2,584 "," 2,967 "," 3,213 "," 3,815 "," 4,588 "," 5,375 "," 6,445 "," 7,531 "," 8,621 "," 9,251 "," 9,842 "," 11,212 "," 12,387 "," 13,572 "," 15,267 "," 17,773 "," 19,997 "," 22,129 "," 24,374 "," 26,779 "," 29,594 "," 31,003 "," 32,377 "," 34,832 "," 37,457 "," 40,731 "," 43,050 "," 46,792 "," 52,201 "," 54,228 "," 54,934 "," 57,252 "," 60,892 "," 65,969 "," 71,564 "," 74,167 "," 75,612 "," 74,294 "," 77,443 "," 78,301 "," 79,439 "," 81,709 "," 82,187 "
                          Federal  , 102 , 108 , 140 , 208 , 226 , 214 , 294 , 401 , 470 , 564 , 594 , 791 , 893 , 854 , 969 ," 1,043 "," 1,110 "," 1,152 "," 1,154 "," 1,108 "," 1,235 "," 1,216 "," 1,141 "," 1,232 "," 1,298 "," 1,326 "," 1,340 "," 1,529 "," 1,795 "," 2,028 "," 2,263 "," 2,607 "," 2,915 "," 3,167 "," 3,630 "," 3,665 "," 3,759 "," 3,931 "," 4,065 "," 4,546 "," 4,879 "," 5,779 "," 8,018 "," 8,899 "," 8,958 "," 9,169 "," 9,513 "," 9,696 "," 9,880 "," 11,995 "," 14,185 "," 10,729 "," 10,846 "," 10,333 "," 10,838 "," 11,263 "," 12,134 "
                          State and Local, 269 , 302 , 316 , 301 , 347 , 407 , 439 , 460 , 499 , 610 , 762 , 885 , 962 ," 1,269 "," 1,615 "," 1,924 "," 2,104 "," 2,663 "," 3,434 "," 4,267 "," 5,210 "," 6,316 "," 7,480 "," 8,019 "," 8,544 "," 9,886 "," 11,047 "," 12,043 "," 13,472 "," 15,745 "," 17,734 "," 19,522 "," 21,459 "," 23,613 "," 25,964 "," 27,338 "," 28,618 "," 30,901 "," 33,392 "," 36,185 "," 38,170 "," 41,013 "," 44,184 "," 45,329 "," 45,977 "," 48,083 "," 51,378 "," 56,273 "," 61,684 "," 62,172 "," 61,428 "," 63,565 "," 66,597 "," 67,968 "," 68,601 "," 70,446 "," 70,053 "
     Investment," 2,508 "," 2,806 "," 3,427 "," 3,677 "," 4,264 "," 4,666 "," 4,855 "," 5,063 "," 5,713 "," 6,826 "," 7,516 "," 8,388 "," 9,307 "," 9,717 "," 10,661 "," 12,177 "," 13,449 "," 13,905 "," 15,285 "," 16,961 "," 19,857 "," 22,737 "," 26,006 "," 28,356 "," 29,877 "," 30,064 "," 30,974 "," 34,234 "," 38,765 "," 42,516 "," 47,323 "," 50,382 "," 55,322 "," 58,856 "," 61,552 "," 63,464 "," 64,820 "," 70,433 "," 75,133 "," 80,764 "," 83,315 "," 87,376 "," 96,769 "," 103,719 "," 111,376 "," 119,725 "," 125,157 "," 138,395 "," 148,006 "," 138,964 "," 142,739 "," 149,471 "," 153,230 "," 153,143 "," 149,712 "," 153,698 "," 157,418 "
         Research, 694 , 886 ," 1,068 "," 1,219 "," 1,366 "," 1,521 "," 1,624 "," 1,775 "," 1,877 "," 1,924 "," 1,953 "," 2,109 "," 2,357 "," 2,502 "," 2,767 "," 3,372 "," 3,707 "," 3,864 "," 4,438 "," 4,805 "," 5,429 "," 5,705 "," 6,025 "," 6,543 "," 7,608 "," 8,320 "," 9,002 "," 10,025 "," 10,836 "," 11,738 "," 12,678 "," 13,819 "," 15,091 "," 16,472 "," 17,758 "," 18,670 "," 17,808 "," 19,640 "," 21,512 "," 23,365 "," 25,475 "," 28,504 "," 32,016 "," 34,844 "," 38,578 "," 40,319 "," 41,163 "," 42,576 "," 44,278 "," 45,372 "," 49,212 "," 49,658 "," 48,448 "," 46,639 "," 45,888 "," 46,451 "," 47,670 "
         Structures & Equipment," 1,814 "," 1,921 "," 2,360 "," 2,458 "," 2,898 "," 3,145 "," 3,230 "," 3,288 "," 3,836 "," 4,902 "," 5,563 "," 6,279 "," 6,950 "," 7,215 "," 7,895 "," 8,805 "," 9,742 "," 10,041 "," 10,847 "," 12,156 "," 14,428 "," 17,033 "," 19,982 "," 21,813 "," 22,269 "," 21,744 "," 21,972 "," 24,209 "," 27,929 "," 30,778 "," 34,645 "," 36,563 "," 40,231 "," 42,384 "," 43,794 "," 44,795 "," 47,012 "," 50,793 "," 53,622 "," 57,399 "," 57,840 "," 58,872 "," 64,753 "," 68,875 "," 72,798 "," 79,406 "," 83,994 "," 95,818 "," 103,728 "," 93,592 "," 93,527 "," 99,813 "," 104,782 "," 106,505 "," 103,823 "," 107,247 "," 109,748 "
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ," 3,146 "," 8,065 "," 9,759 "," 11,220 "," 12,962 "," 15,138 "," 17,639 "," 20,153 "," 24,501 "," 29,782 "," 34,883 "," 40,354 "," 46,133 "," 53,254 "," 63,419 "," 75,077 "," 84,361 "," 94,825 "," 104,440 "," 112,766 "," 122,212 "," 133,420 "," 144,045 "," 163,089 "," 183,842 "," 213,827 "," 244,183 "," 272,338 "," 302,084 "," 329,255 "," 350,919 "," 371,226 "," 378,830 "," 398,350 "," 428,187 "," 475,945 "," 518,916 "," 557,867 "," 608,968 "," 656,603 "," 718,639 "," 767,613 "," 821,394 "," 884,386 "," 928,553 "," 963,412 "," 1,004,951 "," 1,049,032 "," 1,128,749 "," 1,207,734 "," 1,254,525 "
POPULATION, 186 , 189 , 192 , 195 , 197 , 200 , 202 , 204 , 206 , 208 , 210 , 213 , 215 , 217 , 218 , 220 , 222 , 224 , 226 , 228 , 230 , 233 , 235 , 237 , 239 , 242 , 244 , 246 , 248 , 251 , 254 , 257 , 260 , 263 , 266 , 268 , 271 , 274 , 277 , 279 , 282 , 285 , 287 , 290 , 293 , 295 , 298 , 301 , 304 , 306 , 309 , 311 , 313 , 316 , 318 , 320 , 322 
