"Title: Opioid Overdose Death Rates and All Drug Overdose Death Rates per 100,000 Population (Age-Adjusted) | The Henry J. Kaiser Family Foundation",,,,,,,,,,,,,,,,,
Timeframe: 1999 - 2015,,,,,,,,,,,,,,,,,
Location,1999__Opioid Overdose Death Rate (Age-Adjusted),2000__Opioid Overdose Death Rate (Age-Adjusted),2001__Opioid Overdose Death Rate (Age-Adjusted),2002__Opioid Overdose Death Rate (Age-Adjusted),2003__Opioid Overdose Death Rate (Age-Adjusted),2004__Opioid Overdose Death Rate (Age-Adjusted),2005__Opioid Overdose Death Rate (Age-Adjusted),2006__Opioid Overdose Death Rate (Age-Adjusted),2007__Opioid Overdose Death Rate (Age-Adjusted),2008__Opioid Overdose Death Rate (Age-Adjusted),2009__Opioid Overdose Death Rate (Age-Adjusted),2010__Opioid Overdose Death Rate (Age-Adjusted),2011__Opioid Overdose Death Rate (Age-Adjusted),2012__Opioid Overdose Death Rate (Age-Adjusted),2013__Opioid Overdose Death Rate (Age-Adjusted),2014__Opioid Overdose Death Rate (Age-Adjusted),2015__Opioid Overdose Death Rate (Age-Adjusted)
Florida,2.6,3.6,5.4,5.9,6.3,7.1,6.3,6.9,8.2,8.2,8.7,9.1,8.4,6.9,6.6,7.2,9.4
Georgia,1,1.4,2.1,2.5,2.7,2.9,3.3,3.6,4.1,4.2,5,5.4,5.4,5.4,5.3,7,8.4
Hawaii,2.4,2.3,3,3.7,3.4,4.4,5,4,5.7,3.9,4.1,5.3,5.4,4.5,4.7,3.9,4.1
Idaho,2.5,2.2,4.1,3.5,4.2,3.5,3.7,5,4.3,4.8,4.2,5.3,5.1,3.9,4.8,5,6
Illinois,3.9,4.5,4.2,4.6,3.7,4.2,4.7,6.9,5.5,6.7,6.9,6.8,7.1,8.9,8.3,9.4,10.7
Indiana,0.8,0.7,1.1,1,2.1,2.2,2.6,2.8,3.9,5,5,4.5,5.6,5.9,5.7,7.3,8.5
Iowa,NR,NR,0.9,1.3,1.4,2.1,2.4,3.3,3.6,4.4,4.9,5.1,5.9,5.9,6.1,5.3,5.8
Kansas,1,0.9,1.8,3,2.9,4.4,4.1,4.5,4.4,3.5,5.5,3.8,4.3,6.3,5.7,6,5.4
Kentucky,1.3,2.3,3.5,4.4,5.7,5.4,6.8,8,8.1,8.7,10.2,14.1,15.8,15.5,15.5,16.8,21
Louisiana,0.7,1.2,1.8,2.1,2.7,3.2,3.8,4.6,4.9,2.9,2.8,2.8,2.5,3.7,5.9,5.7,6.3
Maine,2.1,3.2,4.3,7.3,6.7,7.7,9,7.3,8.1,8.2,8.7,7.1,6.7,7.9,9.9,13.7,19.3
Maryland,8.8,8.7,8.8,9.7,9.9,8.5,8.6,9.7,10.3,8.7,9.9,8.7,9.1,10.9,12.3,15,17.7
Massachusetts,5,4.8,7.6,7.4,9,7.1,8.6,10.1,9.9,9.1,9.4,8.3,9.9,10.4,13.3,17,23.3
Michigan,1.2,1.8,1.9,2.3,2.5,3.5,4.8,6,5.1,6.5,7.5,7,7.5,7.1,9.4,10.9,13.6
Minnesota,1.2,1.1,1.9,1.9,2.1,2.6,2.8,3,3.4,4.3,5.2,4.4,5.3,5.3,5.6,6,6.2
Mississippi,NR,NR,0.9,0.9,1.1,1,1.4,2.3,3.3,3.7,3.4,3.3,2.9,3.9,3.4,3.9,5.3
Missouri,1.8,2.4,2.4,3.4,4.8,4.9,5.3,7.1,6.7,8.2,9,10.3,10.2,9.3,10.7,12,11.7
Montana,NR,NR,2.3,2.2,4.7,5,4.7,5.2,6.3,7.6,9.4,6.1,6.8,5.3,7.2,5.4,5
Nebraska,NSD,NR,1.9,1.5,NR,1.6,2.5,1.9,2.4,1.7,3.7,3.4,2.8,3,2.2,3.2,3.1
Nevada,7.8,8.8,8.5,10,10.8,11.6,13.1,13.4,14.2,14.7,15.9,15.8,16.5,15.6,13.7,12.7,13.8
New Hampshire,3.2,2.2,4.1,6.3,7,6.9,8.2,7.9,10.9,7,9.5,8.9,11.5,10.5,11.8,23.4,31.3
New Jersey,3.8,4.1,4.6,5.6,5.1,3.6,5,4.3,3.9,3.8,0.7,4.2,5.1,6.8,7.6,8.2,9.8
New Mexico,10.2,10,8.4,11.1,12,10,11.4,12.5,13.5,16.6,10.2,9.5,11.9,16.1,16,20.2,17.9
New York,3.2,2.6,3.2,2.9,3,2.4,2.9,5.2,5.2,5.6,5.4,5.4,6.8,7.6,8.3,8.6,10.8
North Carolina,2,3.5,4.1,4.9,5.8,6.6,7.5,7.8,8.2,9.1,9.1,8.1,8.6,8.6,8.7,10,11.9
North Dakota,NSD,NSD,NSD,NR,NSD,NR,NSD,NSD,NR,5.1,NSD,NSD,NSD,NSD,NSD,4.5,4.8
Ohio,1.5,2.2,3,3.7,3.2,4.5,4.9,5.6,6.2,7.2,5.9,10,11.2,12.3,14.6,19.1,24.7
Oklahoma,2.7,3.8,4.6,4.3,7.5,8.9,9,11.1,13.9,11.4,15.5,13.9,13,14.2,13.4,13,11.2
Oregon,3.5,3.1,4.2,5.4,5.7,6.2,7.2,9.6,9.4,9,9.5,8.5,10.1,9.2,7.5,8.3,7.9
Pennsylvania,2.7,2.7,2.1,2.9,3.9,3.9,4.2,3.5,4,4.9,5.2,5.1,6.2,6.8,7.8,9,11.2
Rhode Island,3.4,5.4,7.4,6.8,9.3,7,10.3,12.2,8,12.5,10.6,10.5,13.3,13.2,18.1,19.8,23.5
South Carolina,1.2,2.2,2,2,2.2,3.1,3.5,4.9,4.5,4.8,5.2,5.9,5.3,5.1,5.4,10.7,11.4
South Dakota,NSD,NSD,NSD,NR,NSD,2.7,3.1,3.3,2.5,4.2,4.6,4.5,4.5,3.1,4.4,4.1,3.5
Tennessee,1.6,1.8,2.4,2.9,5,6.4,7.5,7.7,7.8,7.7,8.5,10,10.1,11.4,11.9,13.4,16
Texas,1.7,1.8,2.6,3.4,3.6,3.7,3.9,4.6,4.3,3.9,4.6,4.4,4.6,4.4,4,4.3,4.7
Utah,7.3,7.6,7.8,9.7,11.8,11.8,14.2,13.9,14.7,14,14.7,12.8,14.6,16.1,15.9,16.8,15.9
Vermont,NR,3.6,5,5.8,7.2,6.1,6.1,9.4,8.8,8.6,6,6.8,9.1,8.6,11.6,11,13.4
Virginia,2.7,3.4,4.2,4.7,4.8,5.1,4.7,5.3,6.4,6.2,5.9,4.8,7.1,6.5,7.6,9.1,9.9
Washington,5.9,5.8,5.3,7.4,7.5,9,9.2,10,9.7,10.1,10.2,8.9,9.9,9.7,8.9,9.2,9.3
West Virginia,1.8,2.8,7.9,10.1,11.2,14.2,8.2,16.1,19,21,10.3,25.6,31.5,27.1,27.9,31.6,36
Wisconsin,1.6,2.1,2.6,3.2,3.7,4,4.9,6,6.7,6.6,6.9,7.3,8.3,8.6,10.6,11.1,11.2
Wyoming,NSD,NR,NSD,NR,NSD,NR,NR,NR,4.6,7.6,5.7,8.5,7.5,7.7,8.6,9.3,7.9
,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
"The National Vital Statistics System multiple cause-of-death mortality files were used to identify drug overdose deaths. Drug overdose deaths were classified using the International Classification of Disease, Tenth Revision (ICD-10), based on the ICD-10 underlying cause-of-death codes X40–44 (unintentional), X60–64 (suicide), X85 (homicide), or Y10–Y14 (undetermined intent). Among the deaths with drug overdose as the underlying cause, the type of opioid involved is indicated by the following ICD-10 multiple cause-of-death codes: opioids (T40.0, T40.1, T40.2, T40.3, T40.4, or T40.6); natural and semisynthetic opioids (T40.2); methadone (T40.3); synthetic opioids, other than methadone (T40.4); and heroin (T40.1).",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Age-adjusted death rates were calculated by applying age-specific death rates to the 2000 U.S. standard population age distribution. Death Rates are deaths per 100,000 population (age-adjusted).",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Deaths from illegally-made fentanyl cannot be distinguished from pharmaceutical fentanyl in the data source. For this reason, deaths from both legally prescribed and illegally produced fentanyl are included in these data.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,
"Kaiser Family Foundation analysis of Centers for Disease Control and Prevention (CDC), National Center for Health Statistics. Multiple Cause of Death 1999-2015 on CDC WONDER Online Database, released 2016. Data are from the Multiple Cause of Death Files, 1999-2015, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at [http://wonder.cdc.gov/mcd-icd10.html](http://wonder.cdc.gov/mcd-icd10.html) on March 2, 2017.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,
*NSD*: Not sufficient data. Data supressed to ensure confidentiality.,,,,,,,,,,,,,,,,,
