Notes,Year,Year Code,State,State Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate,Crude Rate Standard Error,% of Total Deaths
,1999,1999,Colorado,8,Female,F,25-34 years,25-34,16,312607,Unreliable,1.3,0
,1999,1999,Colorado,8,Female,F,35-44 years,35-44,22,365690,6.0,1.3,0
,1999,1999,Colorado,8,Female,F,45-54 years,45-54,19,295671,Unreliable,1.5,0
Total,1999,1999,Colorado,8,Female,F,,,70,2101358,3.3,0.4,0
,1999,1999,Colorado,8,Male,M,15-24 years,15-24,11,313172,Unreliable,1.1,0
,1999,1999,Colorado,8,Male,M,25-34 years,25-34,33,342250,9.6,1.7,0
,1999,1999,Colorado,8,Male,M,35-44 years,35-44,67,373273,17.9,2.2,0
,1999,1999,Colorado,8,Male,M,45-54 years,45-54,41,297388,13.8,2.2,0
Total,1999,1999,Colorado,8,Male,M,,,161,2124660,7.6,0.6,0
Total,1999,1999,Colorado,8,,,,,231,4226018,5.5,0.4,0.001
,1999,1999,Connecticut,9,Female,F,25-34 years,25-34,10,234438,Unreliable,1.3,0
,1999,1999,Connecticut,9,Female,F,35-44 years,35-44,20,294958,6.8,1.5,0
,1999,1999,Connecticut,9,Female,F,45-54 years,45-54,10,240846,Unreliable,1.3,0
Total,1999,1999,Connecticut,9,Female,F,,,44,1747148,2.5,0.4,0
,1999,1999,Connecticut,9,Male,M,15-24 years,15-24,16,203760,Unreliable,2,0
,1999,1999,Connecticut,9,Male,M,25-34 years,25-34,30,227998,13.2,2.4,0
,1999,1999,Connecticut,9,Male,M,35-44 years,35-44,65,284561,22.8,2.8,0
,1999,1999,Connecticut,9,Male,M,45-54 years,45-54,28,228474,12.3,2.3,0
Total,1999,1999,Connecticut,9,Male,M,,,144,1639253,8.8,0.7,0
Total,1999,1999,Connecticut,9,,,,,188,3386401,5.6,0.4,0.001
Total,1999,1999,Delaware,10,Male,M,,,26,376258,6.9,1.4,0
Total,1999,1999,Delaware,10,,,,,35,774990,4.5,0.8,0
,1999,1999,District of Columbia,11,Male,M,35-44 years,35-44,16,44096,Unreliable,9.1,0
,1999,1999,District of Columbia,11,Male,M,45-54 years,45-54,16,34379,Unreliable,11.6,0
Total,1999,1999,District of Columbia,11,Male,M,,,42,268416,15.6,2.4,0
Total,1999,1999,District of Columbia,11,,,,,44,570213,7.7,1.2,0
,1999,1999,Florida,12,Female,F,25-34 years,25-34,34,1036079,3.3,0.6,0
,1999,1999,Florida,12,Female,F,35-44 years,35-44,57,1233241,4.6,0.6,0
,1999,1999,Florida,12,Female,F,45-54 years,45-54,33,1025162,3.2,0.6,0
Total,1999,1999,Florida,12,Female,F,,,153,8073847,1.9,0.2,0
,1999,1999,Florida,12,Male,M,15-24 years,15-24,44,974807,4.5,0.7,0
,1999,1999,Florida,12,Male,M,25-34 years,25-34,85,1056626,8.0,0.9,0
,1999,1999,Florida,12,Male,M,35-44 years,35-44,135,1223234,11.0,0.9,0
,1999,1999,Florida,12,Male,M,45-54 years,45-54,90,966780,9.3,1,0
,1999,1999,Florida,12,Male,M,55-64 years,55-64,11,708839,Unreliable,0.5,0
Total,1999,1999,Florida,12,Male,M,,,370,7685574,4.8,0.3,0.001
Total,1999,1999,Florida,12,,,,,523,15759421,3.3,0.1,0.001
,1999,1999,Georgia,13,Female,F,35-44 years,35-44,11,675072,Unreliable,0.5,0
Total,1999,1999,Georgia,13,Female,F,,,29,4096031,0.7,0.1,0
,1999,1999,Georgia,13,Male,M,15-24 years,15-24,10,601682,Unreliable,0.5,0
,1999,1999,Georgia,13,Male,M,25-34 years,25-34,26,651618,4.0,0.8,0
,1999,1999,Georgia,13,Male,M,35-44 years,35-44,37,660376,5.6,0.9,0
,1999,1999,Georgia,13,Male,M,45-54 years,45-54,25,508674,4.9,1,0
Total,1999,1999,Georgia,13,Male,M,,,106,3949934,2.7,0.3,0
Total,1999,1999,Georgia,13,,,,,135,8045965,1.7,0.1,0
Total,1999,1999,Hawaii,15,Female,F,,,11,601830,Unreliable,0.6,0
,1999,1999,Hawaii,15,Male,M,35-44 years,35-44,11,97666,Unreliable,3.4,0
Total,1999,1999,Hawaii,15,Male,M,,,28,608470,4.6,0.9,0
Total,1999,1999,Hawaii,15,,,,,39,1210300,3.2,0.5,0
Total,1999,1999,Idaho,16,Female,F,,,12,636798,Unreliable,0.5,0
Total,1999,1999,Idaho,16,Male,M,,,20,638876,3.1,0.7,0
Total,1999,1999,Idaho,16,,,,,32,1275674,2.5,0.4,0
,1999,1999,Illinois,17,Female,F,25-34 years,25-34,35,906416,3.9,0.7,0
,1999,1999,Illinois,17,Female,F,35-44 years,35-44,68,1001148,6.8,0.8,0
,1999,1999,Illinois,17,Female,F,45-54 years,45-54,25,808142,3.1,0.6,0
Total,1999,1999,Illinois,17,Female,F,,,147,6313350,2.3,0.2,0
,1999,1999,Illinois,17,Male,M,15-24 years,15-24,59,888143,6.6,0.9,0
,1999,1999,Illinois,17,Male,M,25-34 years,25-34,119,919295,12.9,1.2,0
,1999,1999,Illinois,17,Male,M,35-44 years,35-44,197,986053,20.0,1.4,0.001
,1999,1999,Illinois,17,Male,M,45-54 years,45-54,114,775959,14.7,1.4,0
,1999,1999,Illinois,17,Male,M,55-64 years,55-64,20,491627,4.1,0.9,0
Total,1999,1999,Illinois,17,Male,M,,,512,6045670,8.5,0.4,0.001
Total,1999,1999,Illinois,17,,,,,659,12359020,5.3,0.2,0.002
Total,1999,1999,Indiana,18,Female,F,,,16,3083351,Unreliable,0.1,0
,1999,1999,Indiana,18,Male,M,25-34 years,25-34,16,421341,Unreliable,0.9,0
,1999,1999,Indiana,18,Male,M,35-44 years,35-44,22,478858,4.6,1,0
Total,1999,1999,Indiana,18,Male,M,,,51,2961618,1.7,0.2,0
Total,1999,1999,Indiana,18,,,,,67,6044969,1.1,0.1,0
Total,1999,1999,Iowa,19,Male,M,,,14,1429411,Unreliable,0.3,0
Total,1999,1999,Iowa,19,,,,,18,2917634,Unreliable,0.1,0
Total,1999,1999,Kansas,20,Male,M,,,24,1322294,1.8,0.4,0
Total,1999,1999,Kansas,20,,,,,33,2678338,1.2,0.2,0
Total,1999,1999,Kentucky,21,Female,F,,,17,2056401,Unreliable,0.2,0
,1999,1999,Kentucky,21,Male,M,25-34 years,25-34,15,285353,Unreliable,1.4,0
,1999,1999,Kentucky,21,Male,M,35-44 years,35-44,20,316592,6.3,1.4,0
,1999,1999,Kentucky,21,Male,M,45-54 years,45-54,10,265956,Unreliable,1.2,0
Total,1999,1999,Kentucky,21,Male,M,,,48,1961652,2.4,0.4,0
Total,1999,1999,Kentucky,21,,,,,65,4018053,1.6,0.2,0
Total,1999,1999,Louisiana,22,Female,F,,,15,2302744,Unreliable,0.2,0
,1999,1999,Louisiana,22,Male,M,25-34 years,25-34,13,298091,Unreliable,1.2,0
,1999,1999,Louisiana,22,Male,M,35-44 years,35-44,17,339382,Unreliable,1.2,0
,1999,1999,Louisiana,22,Male,M,45-54 years,45-54,10,277057,Unreliable,1.1,0
Total,1999,1999,Louisiana,22,Male,M,,,43,2158067,2.0,0.3,0
Total,1999,1999,Louisiana,22,,,,,58,4460811,1.3,0.2,0
,1999,1999,Maine,23,Male,M,35-44 years,35-44,12,104519,Unreliable,3.3,0
Total,1999,1999,Maine,23,Male,M,,,21,616210,3.4,0.7,0
Total,1999,1999,Maine,23,,,,,28,1266808,2.2,0.4,0
,1999,1999,Maryland,24,Female,F,25-34 years,25-34,24,393451,6.1,1.2,0
,1999,1999,Maryland,24,Female,F,35-44 years,35-44,49,469739,10.4,1.5,0
,1999,1999,Maryland,24,Female,F,45-54 years,45-54,14,381821,Unreliable,1,0
Total,1999,1999,Maryland,24,Female,F,,,99,2716928,3.6,0.4,0
,1999,1999,Maryland,24,Male,M,15-24 years,15-24,28,332432,8.4,1.6,0
,1999,1999,Maryland,24,Male,M,25-34 years,25-34,97,370486,26.2,2.7,0
,1999,1999,Maryland,24,Male,M,35-44 years,35-44,191,441710,43.2,3.1,0.001
,1999,1999,Maryland,24,Male,M,45-54 years,45-54,102,352869,28.9,2.9,0
Total,1999,1999,Maryland,24,Male,M,,,434,2537581,17.1,0.8,0.001
Total,1999,1999,Maryland,24,,,,,533,5254509,10.1,0.4,0.002
,1999,1999,Massachusetts,25,Female,F,15-24 years,15-24,10,402622,Unreliable,0.8,0
,1999,1999,Massachusetts,25,Female,F,25-34 years,25-34,37,485017,7.6,1.3,0
,1999,1999,Massachusetts,25,Female,F,35-44 years,35-44,47,537544,8.7,1.3,0
,1999,1999,Massachusetts,25,Female,F,45-54 years,45-54,17,437202,Unreliable,0.9,0
Total,1999,1999,Massachusetts,25,Female,F,,,115,3274830,3.5,0.3,0
,1999,1999,Massachusetts,25,Male,M,15-24 years,15-24,27,401845,6.7,1.3,0
,1999,1999,Massachusetts,25,Male,M,25-34 years,25-34,82,469735,17.5,1.9,0
,1999,1999,Massachusetts,25,Male,M,35-44 years,35-44,102,519686,19.6,1.9,0
,1999,1999,Massachusetts,25,Male,M,45-54 years,45-54,50,412688,12.1,1.7,0
Total,1999,1999,Massachusetts,25,Male,M,,,269,3042515,8.8,0.5,0.001
Total,1999,1999,Massachusetts,25,,,,,384,6317345,6.1,0.3,0.001
,1999,1999,Michigan,26,Female,F,35-44 years,35-44,15,808984,Unreliable,0.5,0
,1999,1999,Michigan,26,Female,F,45-54 years,45-54,14,673980,Unreliable,0.6,0
Total,1999,1999,Michigan,26,Female,F,,,42,5047770,0.8,0.1,0
,1999,1999,Michigan,26,Male,M,25-34 years,25-34,34,689292,4.9,0.8,0
,1999,1999,Michigan,26,Male,M,35-44 years,35-44,52,796374,6.5,0.9,0
,1999,1999,Michigan,26,Male,M,45-54 years,45-54,45,656207,6.9,1,0
Total,1999,1999,Michigan,26,Male,M,,,145,4849346,3.0,0.2,0
Total,1999,1999,Michigan,26,,,,,187,9897116,1.9,0.1,0.001
,1999,1999,Minnesota,27,Female,F,35-44 years,35-44,11,408256,Unreliable,0.8,0
Total,1999,1999,Minnesota,27,Female,F,,,20,2462931,0.8,0.2,0
,1999,1999,Minnesota,27,Male,M,35-44 years,35-44,20,414785,4.8,1.1,0
,1999,1999,Minnesota,27,Male,M,45-54 years,45-54,10,323007,Unreliable,1,0
Total,1999,1999,Minnesota,27,Male,M,,,49,2410550,2.0,0.3,0
Total,1999,1999,Minnesota,27,,,,,69,4873481,1.4,0.2,0
Total,1999,1999,Mississippi,28,Male,M,,,16,1363827,Unreliable,0.3,0
Total,1999,1999,Mississippi,28,,,,,25,2828408,0.9,0.2,0
,1999,1999,Missouri,29,Female,F,35-44 years,35-44,12,448167,Unreliable,0.8,0
,1999,1999,Missouri,29,Female,F,45-54 years,45-54,10,369525,Unreliable,0.9,0
Total,1999,1999,Missouri,29,Female,F,,,32,2860166,1.1,0.2,0
,1999,1999,Missouri,29,Male,M,15-24 years,15-24,13,392084,Unreliable,0.9,0
,1999,1999,Missouri,29,Male,M,25-34 years,25-34,21,369659,5.7,1.2,0
,1999,1999,Missouri,29,Male,M,35-44 years,35-44,53,438657,12.1,1.7,0
,1999,1999,Missouri,29,Male,M,45-54 years,45-54,16,351662,Unreliable,1.1,0
Total,1999,1999,Missouri,29,Male,M,,,107,2701782,4.0,0.4,0
Total,1999,1999,Missouri,29,,,,,139,5561948,2.5,0.2,0
Total,1999,1999,Montana,30,,,,,16,897507,Unreliable,0.4,0
,1999,1999,Nevada,32,Female,F,35-44 years,35-44,22,151100,14.6,3.1,0
,1999,1999,Nevada,32,Female,F,45-54 years,45-54,22,126908,17.3,3.7,0
Total,1999,1999,Nevada,32,Female,F,,,60,949422,6.3,0.8,0
,1999,1999,Nevada,32,Male,M,25-34 years,25-34,24,158093,15.2,3.1,0
,1999,1999,Nevada,32,Male,M,35-44 years,35-44,44,164054,26.8,4,0
,1999,1999,Nevada,32,Male,M,45-54 years,45-54,23,129481,17.8,3.7,0
Total,1999,1999,Nevada,32,Male,M,,,108,985296,11.0,1.1,0
Total,1999,1999,Nevada,32,,,,,168,1934718,8.7,0.7,0
Total,1999,1999,New Hampshire,33,Female,F,,,12,621409,Unreliable,0.6,0
,1999,1999,New Hampshire,33,Male,M,35-44 years,35-44,14,109539,Unreliable,3.4,0
Total,1999,1999,New Hampshire,33,Male,M,,,31,600605,5.2,0.9,0
Total,1999,1999,New Hampshire,33,,,,,43,1222014,3.5,0.5,0
,1999,1999,New Jersey,34,Female,F,25-34 years,25-34,17,605611,Unreliable,0.7,0
,1999,1999,New Jersey,34,Female,F,35-44 years,35-44,36,725132,5.0,0.8,0
,1999,1999,New Jersey,34,Female,F,45-54 years,45-54,17,583442,Unreliable,0.7,0
Total,1999,1999,New Jersey,34,Female,F,,,82,4304271,1.9,0.2,0
,1999,1999,New Jersey,34,Male,M,15-24 years,15-24,24,512760,4.7,1,0
,1999,1999,New Jersey,34,Male,M,25-34 years,25-34,58,599799,9.7,1.3,0
,1999,1999,New Jersey,34,Male,M,35-44 years,35-44,135,706034,19.1,1.6,0
,1999,1999,New Jersey,34,Male,M,45-54 years,45-54,69,547694,12.6,1.5,0
Total,1999,1999,New Jersey,34,Male,M,,,297,4055321,7.3,0.4,0.001
Total,1999,1999,New Jersey,34,,,,,379,8359592,4.5,0.2,0.001
,1999,1999,New Mexico,35,Female,F,35-44 years,35-44,22,143832,15.3,3.3,0
Total,1999,1999,New Mexico,35,Female,F,,,37,918661,4.0,0.7,0
,1999,1999,New Mexico,35,Male,M,15-24 years,15-24,12,135686,Unreliable,2.6,0
,1999,1999,New Mexico,35,Male,M,25-34 years,25-34,34,117176,29.0,5,0
,1999,1999,New Mexico,35,Male,M,35-44 years,35-44,70,139789,50.1,6,0
,1999,1999,New Mexico,35,Male,M,45-54 years,45-54,54,116461,46.4,6.3,0
Total,1999,1999,New Mexico,35,Male,M,,,177,889421,19.9,1.5,0
Total,1999,1999,New Mexico,35,,,,,214,1808082,11.8,0.8,0.001
,1999,1999,New York,36,Female,F,25-34 years,25-34,32,1426399,2.2,0.4,0
,1999,1999,New York,36,Female,F,35-44 years,35-44,64,1563349,4.1,0.5,0
,1999,1999,New York,36,Female,F,45-54 years,45-54,57,1297234,4.4,0.6,0
Total,1999,1999,New York,36,Female,F,,,174,9777654,1.8,0.1,0
,1999,1999,New York,36,Male,M,15-24 years,15-24,20,1272073,1.6,0.4,0
,1999,1999,New York,36,Male,M,25-34 years,25-34,136,1378533,9.9,0.8,0
,1999,1999,New York,36,Male,M,35-44 years,35-44,258,1506475,17.1,1.1,0.001
,1999,1999,New York,36,Male,M,45-54 years,45-54,171,1197851,14.3,1.1,0
,1999,1999,New York,36,Male,M,55-64 years,55-64,28,775941,3.6,0.7,0
Total,1999,1999,New York,36,Male,M,,,621,9105071,6.8,0.3,0.002
Total,1999,1999,New York,36,,,,,795,18882725,4.2,0.1,0.002
,1999,1999,North Carolina,37,Female,F,25-34 years,25-34,12,601106,Unreliable,0.6,0
,1999,1999,North Carolina,37,Female,F,35-44 years,35-44,34,646608,5.3,0.9,0
,1999,1999,North Carolina,37,Female,F,45-54 years,45-54,13,542672,Unreliable,0.7,0
Total,1999,1999,North Carolina,37,Female,F,,,70,4062710,1.7,0.2,0
,1999,1999,North Carolina,37,Male,M,25-34 years,25-34,32,617360,5.2,0.9,0
,1999,1999,North Carolina,37,Male,M,35-44 years,35-44,62,632761,9.8,1.2,0
,1999,1999,North Carolina,37,Male,M,45-54 years,45-54,31,513327,6.0,1.1,0
Total,1999,1999,North Carolina,37,Male,M,,,142,3886651,3.7,0.3,0
Total,1999,1999,North Carolina,37,,,,,212,7949361,2.7,0.2,0.001
,1999,1999,Ohio,39,Female,F,25-34 years,25-34,13,773972,Unreliable,0.5,0
,1999,1999,Ohio,39,Female,F,35-44 years,35-44,16,921019,Unreliable,0.4,0
,1999,1999,Ohio,39,Female,F,45-54 years,45-54,13,777350,Unreliable,0.5,0
Total,1999,1999,Ohio,39,Female,F,,,50,5835017,0.9,0.1,0
,1999,1999,Ohio,39,Male,M,25-34 years,25-34,22,765685,2.9,0.6,0
,1999,1999,Ohio,39,Male,M,35-44 years,35-44,82,895854,9.2,1,0
,1999,1999,Ohio,39,Male,M,45-54 years,45-54,51,747403,6.8,1,0
Total,1999,1999,Ohio,39,Male,M,,,174,5500437,3.2,0.2,0
Total,1999,1999,Ohio,39,,,,,224,11335454,2.0,0.1,0.001
,1999,1999,Oklahoma,40,Female,F,35-44 years,35-44,13,264662,Unreliable,1.4,0
Total,1999,1999,Oklahoma,40,Female,F,,,34,1748783,1.9,0.3,0
,1999,1999,Oklahoma,40,Male,M,25-34 years,25-34,16,229849,Unreliable,1.7,0
,1999,1999,Oklahoma,40,Male,M,35-44 years,35-44,29,262484,11.0,2.1,0
,1999,1999,Oklahoma,40,Male,M,45-54 years,45-54,13,217390,Unreliable,1.7,0
Total,1999,1999,Oklahoma,40,Male,M,,,66,1688364,3.9,0.5,0
Total,1999,1999,Oklahoma,40,,,,,100,3437147,2.9,0.3,0
,1999,1999,Oregon,41,Female,F,35-44 years,35-44,26,266709,9.7,1.9,0
,1999,1999,Oregon,41,Female,F,45-54 years,45-54,12,248835,Unreliable,1.4,0
Total,1999,1999,Oregon,41,Female,F,,,50,1712226,2.9,0.4,0
,1999,1999,Oregon,41,Male,M,25-34 years,25-34,33,240533,13.7,2.4,0
,1999,1999,Oregon,41,Male,M,35-44 years,35-44,74,266688,27.7,3.2,0
,1999,1999,Oregon,41,Male,M,45-54 years,45-54,40,246155,16.2,2.6,0
Total,1999,1999,Oregon,41,Male,M,,,158,1681715,9.4,0.7,0
Total,1999,1999,Oregon,41,,,,,208,3393941,6.1,0.4,0.001
,1999,1999,Pennsylvania,42,Female,F,15-24 years,15-24,17,786043,Unreliable,0.5,0
,1999,1999,Pennsylvania,42,Female,F,25-34 years,25-34,17,799419,Unreliable,0.5,0
,1999,1999,Pennsylvania,42,Female,F,35-44 years,35-44,39,991694,3.9,0.6,0
,1999,1999,Pennsylvania,42,Female,F,45-54 years,45-54,20,844482,2.4,0.5,0
Total,1999,1999,Pennsylvania,42,Female,F,,,102,6347064,1.6,0.2,0
,1999,1999,Pennsylvania,42,Male,M,15-24 years,15-24,41,802982,5.1,0.8,0
,1999,1999,Pennsylvania,42,Male,M,25-34 years,25-34,68,790250,8.6,1,0
,1999,1999,Pennsylvania,42,Male,M,35-44 years,35-44,108,966081,11.2,1.1,0
,1999,1999,Pennsylvania,42,Male,M,45-54 years,45-54,58,814584,7.1,0.9,0
Total,1999,1999,Pennsylvania,42,Male,M,,,285,5916741,4.8,0.3,0.001
Total,1999,1999,Pennsylvania,42,,,,,387,12263805,3.2,0.2,0.001
,1999,1999,Rhode Island,44,Female,F,35-44 years,35-44,13,86682,Unreliable,4.2,0
Total,1999,1999,Rhode Island,44,Female,F,,,20,540724,3.7,0.8,0
,1999,1999,Rhode Island,44,Male,M,35-44 years,35-44,11,83123,Unreliable,4,0
Total,1999,1999,Rhode Island,44,Male,M,,,24,499678,4.8,1,0
Total,1999,1999,Rhode Island,44,,,,,44,1040402,4.2,0.6,0
Total,1999,1999,South Carolina,45,Female,F,,,17,2045606,Unreliable,0.2,0
,1999,1999,South Carolina,45,Male,M,35-44 years,35-44,26,304550,8.5,1.7,0
,1999,1999,South Carolina,45,Male,M,45-54 years,45-54,18,258099,Unreliable,1.6,0
Total,1999,1999,South Carolina,45,Male,M,,,57,1929076,3.0,0.4,0
Total,1999,1999,South Carolina,45,,,,,74,3974682,1.9,0.2,0
,1999,1999,Tennessee,47,Female,F,35-44 years,35-44,17,458345,Unreliable,0.9,0
,1999,1999,Tennessee,47,Female,F,45-54 years,45-54,11,392169,Unreliable,0.8,0
Total,1999,1999,Tennessee,47,Female,F,,,47,2897466,1.6,0.2,0
,1999,1999,Tennessee,47,Male,M,25-34 years,25-34,22,409663,5.4,1.1,0
,1999,1999,Tennessee,47,Male,M,35-44 years,35-44,38,441235,8.6,1.4,0
,1999,1999,Tennessee,47,Male,M,45-54 years,45-54,26,374763,6.9,1.4,0
Total,1999,1999,Tennessee,47,Male,M,,,103,2741240,3.8,0.4,0
Total,1999,1999,Tennessee,47,,,,,150,5638706,2.7,0.2,0
,1999,1999,Texas,48,Female,F,15-24 years,15-24,13,1506817,Unreliable,0.2,0
,1999,1999,Texas,48,Female,F,25-34 years,25-34,42,1545178,2.7,0.4,0
,1999,1999,Texas,48,Female,F,35-44 years,35-44,51,1644244,3.1,0.4,0
,1999,1999,Texas,48,Female,F,45-54 years,45-54,35,1276664,2.7,0.5,0
,1999,1999,Texas,48,Female,F,55-64 years,55-64,11,806619,Unreliable,0.4,0
Total,1999,1999,Texas,48,Female,F,,,154,10360202,1.5,0.1,0
,1999,1999,Texas,48,Male,M,15-24 years,15-24,55,1611727,3.4,0.5,0
,1999,1999,Texas,48,Male,M,25-34 years,25-34,117,1596709,7.3,0.7,0
,1999,1999,Texas,48,Male,M,35-44 years,35-44,168,1656972,10.1,0.8,0
,1999,1999,Texas,48,Male,M,45-54 years,45-54,64,1244195,5.1,0.6,0
,1999,1999,Texas,48,Male,M,55-64 years,55-64,19,750046,Unreliable,0.6,0
Total,1999,1999,Texas,48,Male,M,,,430,10198018,4.2,0.2,0.001
Total,1999,1999,Texas,48,,,,,584,20558220,2.8,0.1,0.002
,1999,1999,Utah,49,Female,F,25-34 years,25-34,10,155283,Unreliable,2,0
,1999,1999,Utah,49,Female,F,35-44 years,35-44,12,147930,Unreliable,2.3,0
,1999,1999,Utah,49,Female,F,45-54 years,45-54,17,114818,Unreliable,3.6,0
Total,1999,1999,Utah,49,Female,F,,,41,1100167,3.7,0.6,0
,1999,1999,Utah,49,Male,M,25-34 years,25-34,26,166245,15.6,3.1,0
,1999,1999,Utah,49,Male,M,35-44 years,35-44,56,151324,37.0,4.9,0
,1999,1999,Utah,49,Male,M,45-54 years,45-54,31,114783,27.0,4.9,0
Total,1999,1999,Utah,49,Male,M,,,125,1103315,11.3,1,0
Total,1999,1999,Utah,49,,,,,166,2203482,7.5,0.6,0
Total,1999,1999,Vermont,50,Male,M,,,14,296285,Unreliable,1.3,0
Total,1999,1999,Vermont,50,,,,,18,604683,Unreliable,0.7,0
,1999,1999,Virginia,51,Female,F,25-34 years,25-34,15,522405,Unreliable,0.7,0
,1999,1999,Virginia,51,Female,F,35-44 years,35-44,25,601916,4.2,0.8,0
,1999,1999,Virginia,51,Female,F,45-54 years,45-54,12,497248,Unreliable,0.7,0
Total,1999,1999,Virginia,51,Female,F,,,65,3569683,1.8,0.2,0
,1999,1999,Virginia,51,Male,M,15-24 years,15-24,15,489000,Unreliable,0.8,0
,1999,1999,Virginia,51,Male,M,25-34 years,25-34,41,526030,7.8,1.2,0
,1999,1999,Virginia,51,Male,M,35-44 years,35-44,84,588717,14.3,1.6,0
,1999,1999,Virginia,51,Male,M,45-54 years,45-54,31,474690,6.5,1.2,0
Total,1999,1999,Virginia,51,Male,M,,,176,3430491,5.1,0.4,0
Total,1999,1999,Virginia,51,,,,,241,7000174,3.4,0.2,0.001
,1999,1999,Washington,53,Female,F,25-34 years,25-34,21,411936,5.1,1.1,0
,1999,1999,Washington,53,Female,F,35-44 years,35-44,46,488094,9.4,1.4,0
,1999,1999,Washington,53,Female,F,45-54 years,45-54,28,413578,6.8,1.3,0
Total,1999,1999,Washington,53,Female,F,,,112,2934901,3.8,0.4,0
,1999,1999,Washington,53,Male,M,15-24 years,15-24,18,414779,Unreliable,1,0
,1999,1999,Washington,53,Male,M,25-34 years,25-34,53,429987,12.3,1.7,0
,1999,1999,Washington,53,Male,M,35-44 years,35-44,117,493491,23.7,2.2,0
,1999,1999,Washington,53,Male,M,45-54 years,45-54,75,409640,18.3,2.1,0
,1999,1999,Washington,53,Male,M,55-64 years,55-64,16,239401,Unreliable,1.7,0
Total,1999,1999,Washington,53,Male,M,,,284,2907663,9.8,0.6,0.001
Total,1999,1999,Washington,53,,,,,396,5842564,6.8,0.3,0.001
Total,1999,1999,West Virginia,54,Female,F,,,11,931809,Unreliable,0.4,0
,1999,1999,West Virginia,54,Male,M,45-54 years,45-54,11,131608,Unreliable,2.5,0
Total,1999,1999,West Virginia,54,Male,M,,,26,879990,3.0,0.6,0
Total,1999,1999,West Virginia,54,,,,,37,1811799,2.0,0.3,0
,1999,1999,Wisconsin,55,Female,F,25-34 years,25-34,10,352126,Unreliable,0.9,0
,1999,1999,Wisconsin,55,Female,F,35-44 years,35-44,14,437025,Unreliable,0.9,0
